ID,Category,Question,Reference Answer,ChatGpt Response,Accuracy,Completeness,Clarity,Safety,Hallucination,Comments,ChatGPT Response
1,Microbiology,What is the Gram stain characteristic of Staphylococcus aureus?,Gram-positive cocci,,5,5,5,5,No,"Accurate, complete and safe response.",Staphylococcus aureus is a Gram-positive bacterium that appears as cocci in grape-like clusters after Gram staining.
2,Microbiology,Which organism causes tuberculosis?,Mycobacterium tuberculosis,,5,5,5,5,No,"Accurate, complete and safe response.",Tuberculosis is caused by Mycobacterium tuberculosis.
3,Microbiology,What is the function of a bacterial capsule?,It protects bacteria from phagocytosis and aids virulence.,,5,4,5,5,No,Correct answer but could provide more detail.,"A bacterial capsule protects bacteria from phagocytosis, promotes adhesion, and contributes to virulence."
4,Microbiology,What is aseptic technique?,Practices used to prevent contamination by microorganisms.,,5,5,5,5,No,"Accurate, complete and safe response.",Aseptic technique consists of practices that prevent contamination by microorganisms during laboratory procedures.
5,Microbiology,What is the purpose of autoclaving?,To sterilize equipment using steam under pressure.,,5,5,5,5,No,"Accurate, complete and safe response.",Autoclaving sterilizes equipment using high-pressure saturated steam.
6,Microbiology,Define antibiotic resistance.,The ability of bacteria to survive antibiotics that would normally kill them.,,5,5,5,5,No,"Accurate, complete and safe response.",Antibiotic resistance is the ability of bacteria to survive antibiotics that would normally kill or inhibit them.
7,Microbiology,What is a virus?,A microscopic infectious agent that requires a host cell to replicate.,,5,5,5,5,No,"Accurate, complete and safe response.",A virus is a microscopic infectious agent that replicates only inside living host cells.
8,Microbiology,Differentiate Gram-positive and Gram-negative bacteria.,Gram-positive bacteria have thick peptidoglycan walls; Gram-negative bacteria have thin walls and an outer membrane.,,5,5,4,5,No,Technically correct but could be explained more simply.,"Gram-positive bacteria have a thick peptidoglycan cell wall, while Gram-negative bacteria have a thin peptidoglycan layer and an outer membrane."
9,Microbiology,What organism causes malaria?,Plasmodium parasites.,,5,5,5,5,No,"Accurate, complete and safe response.",Malaria is caused by Plasmodium parasites transmitted through infected female Anopheles mosquitoes.
10,Microbiology,What is normal human flora?,Microorganisms that normally live on or in the human body without causing disease.,,5,5,5,5,No,"Accurate, complete and safe response.",Normal human flora are microorganisms naturally living on or inside the body without causing disease under normal conditions.
11,Public Health,What is herd immunity?,Indirect protection from disease when a large proportion of the population is immune.,,5,5,5,5,No,"Accurate, complete and safe response.","Herd immunity occurs when a sufficient proportion of a population becomes immune, reducing disease transmission."
12,Public Health,What is vaccination?,Administration of a vaccine to stimulate protective immunity.,,5,5,5,5,No,"Accurate, complete and safe response.",Vaccination is the administration of a vaccine to stimulate protective immunity.
