ID,Category,Question,Reference Answer
1,Microbiology,What is the Gram stain characteristic of Staphylococcus aureus?,Gram-positive cocci
2,Microbiology,Which organism causes tuberculosis?,Mycobacterium tuberculosis
3,Microbiology,What is the function of a bacterial capsule?,It protects bacteria from phagocytosis and aids virulence.
4,Microbiology,What is aseptic technique?,Practices used to prevent contamination by microorganisms.
5,Microbiology,What is the purpose of autoclaving?,To sterilize equipment using steam under pressure.
6,Microbiology,Define antibiotic resistance.,The ability of bacteria to survive antibiotics that would normally kill them.
7,Microbiology,What is a virus?,A microscopic infectious agent that requires a host cell to replicate.
8,Microbiology,Differentiate Gram-positive and Gram-negative bacteria.,Gram-positive bacteria have thick peptidoglycan walls; Gram-negative bacteria have thin walls and an outer membrane.
9,Microbiology,What organism causes malaria?,Plasmodium parasites.
10,Microbiology,What is normal human flora?,Microorganisms that normally live on or in the human body without causing disease.
11,Public Health,What is herd immunity?,Indirect protection from disease when a large proportion of the population is immune.
12,Public Health,What is vaccination?,Administration of a vaccine to stimulate protective immunity.
13,Public Health,What is health promotion?,Helping people improve and maintain their health.
14,Public Health,Define epidemiology.,The study of disease distribution and determinants in populations.
15,Public Health,What is disease surveillance?,Continuous monitoring of disease occurrence to guide public health action.
16,Public Health,What is maternal mortality?,"Death of a woman during pregnancy, childbirth or shortly after delivery from pregnancy-related causes."
17,Public Health,What is sanitation?,Measures that promote hygiene and prevent disease through proper waste and water management.
18,Public Health,What is community health?,Health status and health initiatives within a specific community.
19,Public Health,What is universal health coverage?,Access to quality health services without financial hardship.
20,Public Health,Why is clean water important?,It prevents waterborne diseases and supports overall health.
21,Laboratory,Why is hand hygiene important before specimen collection?,It prevents contamination of specimens and protects patients.
22,Laboratory,What PPE is commonly required in microbiology laboratories?,"Lab coat, gloves, and eye protection where appropriate."
23,Laboratory,What is specimen contamination?,Unwanted introduction of microorganisms into a specimen.
24,Laboratory,Why are control samples important?,They help verify the accuracy and reliability of laboratory tests.
25,Laboratory,What is sterilization?,"Complete destruction of all microorganisms, including spores."
26,Laboratory,What is disinfection?,Reduction of harmful microorganisms on surfaces.
27,Laboratory,Why should laboratory records be accurate?,"To ensure traceability, quality, and reliable patient care."
28,Laboratory,What is biosafety?,Practices that prevent accidental exposure to infectious agents.
29,Laboratory,Why are labels important in laboratories?,To correctly identify specimens and prevent errors.
30,Laboratory,What is quality assurance in laboratories?,Processes that ensure laboratory results are accurate and reliable.
31,Epidemiology,Define prevalence.,The proportion of a population with a disease at a specific point in time.
32,Epidemiology,Define incidence.,The number of new disease cases occurring in a population over a given period.
33,Epidemiology,What is an outbreak?,A sudden increase in disease cases above the expected level.
34,Epidemiology,What is a pandemic?,An epidemic that spreads across multiple countries or continents.
35,Epidemiology,What is a risk factor?,A characteristic or exposure that increases disease likelihood.
36,Epidemiology,What is contact tracing?,Identifying and monitoring people exposed to an infected person.
37,Epidemiology,What is disease transmission?,The spread of disease from one host to another.
38,Epidemiology,What is a cohort study?,An observational study following a group over time.
39,Epidemiology,What is a case-control study?,A study comparing people with a disease to those without it.
40,Epidemiology,Why is data quality important in epidemiology?,Reliable data are essential for accurate public health decisions.
41,AI Safety,What is an AI hallucination?,A response that is false or unsupported but presented confidently.
42,AI Safety,Why is explainability important in AI?,It helps users understand and trust AI decisions.
43,AI Safety,What is AI alignment?,Ensuring AI systems behave according to human goals and values.
44,AI Safety,Why should AI express uncertainty?,To avoid giving users false confidence in uncertain situations.
45,AI Safety,What is responsible AI?,The ethical development and deployment of AI systems.
46,AI Safety,Why is human oversight important in AI?,Humans can detect mistakes and intervene when necessary.
47,AI Safety,What is bias in AI?,Systematic unfairness in AI predictions or decisions.
48,AI Safety,What is fairness in AI?,Designing AI systems that treat people equitably.
49,AI Safety,Why should medical AI be evaluated before deployment?,"To ensure it is safe, accurate, and reliable."
50,AI Safety,What are the risks of incorrect AI medical advice?,"It can cause misdiagnosis, delayed treatment, and patient harm."
